state,county,city,address1,address2,date
Kansas,Cherokee,Weir,"5285 Northeast Highway 103",,10/20/2007
Kansas,Shawnee,Topeka,"715 Southeast Gilmore Avenue",,11/19/2007
Kansas,Crawford,Pittsburg,"1411 North Michigan Street",,11/20/2007
Kansas,Crawford,Pittsburg,"18 4th Street Circle",,12/07/2007
Kansas,Barton,"Great Bend","2303 8th Street",,12/08/2007
Kansas,Republic,Belleville,"721 190th Road",,12/21/2007
Kansas,Pawnee,Larned,"823 Johnson Street",,01/02/2008
Kansas,Crawford,Pittsburg,"612 East 10th Street",,01/17/2008
Kansas,Crawford,Pittsburg,"1409 North Grand Street",,01/24/2008
Kansas,Comanche,Protection,"107 West Main Street",,01/30/2008
Kansas,Rush,"La Crosse","623 East 6th Street",,02/14/2008
Kansas,Cherokee,Galena,"9834 Star Road",,02/21/2008
Kansas,Cherokee,Weir,"5200 Northeast Coal Valley Road",,02/25/2008
Kansas,Cherokee,Galena,"108 West Empire Street",,02/27/2008
Kansas,Cherokee,,"5285 Northeast 103 Highway",,02/28/2008
Kansas,Gray,Cimarron,"803 East C Avenue",,03/12/2008
Kansas,Stafford,Seward,"719 Main",,03/21/2008
Kansas,Cherokee,Galena,"5069 Southeast 112th Terrace",,03/31/2008
Kansas,Saline,Salina,"1121 West State Street",,04/11/2008
Kansas,Cherokee,Galena,"315 East 9 Street",,04/16/2008
Kansas,Crawford,Pittsburg,"1804 North Smelter Street",,04/30/2008
Kansas,Cherokee,Galena,"1628 Roosevelt Drive",,05/13/2008
Kansas,Pawnee,Rozel,"202 North Smith Street",,05/30/2008
Kansas,Reno,"South Hutchinson","318 East E Avenue",,06/01/2008
Kansas,Crawford,Weir,"713 North Dreher Street",,06/04/2008
Kansas,Cherokee,Galena,"8217 Southeast Grape Lane",,06/09/2008
Kansas,Ford,"Dodge City","1002 A Avenue A",,06/19/2008
Kansas,Crawford,Arma,"103 West View Street",,06/25/2008
Kansas,Reno,Hutchinson,"1604 North Cochran",,06/25/2008
Kansas,Cherokee,Weir,"205 East Pine Street",,06/27/2008
Kansas,Labette,Parsons,"2701 Chess Avenue",,07/17/2008
Kansas,Bourbon,"Fort Scott","736 South Little Street",,08/01/2008
Kansas,Mitchell,Beloit,"210 West 5th Street",,08/22/2008
Kansas,Douglas,Lawrence,"2530 Redbud Ln 32",,08/22/2008
Kansas,Reno,Hutchinson,"805 East A Avenue",,08/24/2008
Kansas,Scott,"Scott City","411 West 7th Street",,09/10/2008
Kansas,Reno,Hutchinson,"501 Green Garden Drive",,09/13/2008
Kansas,Sedgwick,Wichita,"2651 South Cheyenne",,09/14/2008
Kansas,Cherokee,Galena,"10324 Southeast 99th Drive",,09/19/2008
Kansas,Cherokee,Columbus,"5214 Southeast 166 Avenue",,09/24/2008
Kansas,Cherokee,"Baxter Springs","871 Southeast Star Road",,09/24/2008
Kansas,Cherokee,Columbus,"425 North Railroad Avenue",,09/24/2008
Kansas,Cherokee,Treece,"302 Lucky Avenue",,09/25/2008
Kansas,Wilson,Neodesha,"1603 North 1st Street",,10/03/2008
Kansas,Reno,Hutchinson,"5300 East 4th Avenue",,10/25/2008
Kansas,Reno,Hutchinson,"7204 Backacres Road",,10/25/2008
Kansas,Reno,Hutchinson,"8100 West 30th Avenue",,04/02/2009
Kansas,Cowley,"Arkansas City","1601 West Kansas Avenue",,04/08/2009
Kansas,Cowley,"Arkansas City","200 Bl South 8th Street",,04/08/2009
Kansas,Labette,Oswego,"1515 West 6 Street",,04/09/2009
Kansas,Reno,Hutchinson,"700 South Peace Road",,04/15/2009
Kansas,Anderson,Kincaid,"20070 Southeast Texas Road",,04/15/2009
Kansas,Reno,Hutchinson,"100 West 13 Avenue",,04/16/2009
Kansas,Reno,Hutchinson,"200 West 2nd Avenue",,04/16/2009
Kansas,Atchison,Cummings,"2438 Osborne Road",,04/30/2009
Kansas,Neosho,Chanute,"16th Santa Fe Streets",,05/15/2009
Kansas,Stafford,,"631 Northeast 140 Avenue",,05/21/2009
Kansas,Stafford,"Saint John","624 Northeast 10 Avenue",,05/28/2009
Kansas,Ford,"Dodge City","909 5th Avenue",,05/29/2009
Kansas,Ellsworth,Ellsworth,"1402 Foster Road",,05/30/2009
Kansas,Sumner,"Geuda Springs","1754 South 200 Street",,06/18/2009
Kansas,Jefferson,"Lakeside Village","10169 Delaware Park",,06/21/2009
Kansas,Cherokee,Galena,"702 Main",,06/29/2009
Kansas,Cherokee,"Baxter Springs","10430 Southeast 90",,06/29/2009
Kansas,Ottawa,Bennington,"456 North 150 Road",,06/30/2009
Kansas,Saline,Salina,"1301 West Diamond Drive",,01/05/2010
Kansas,Saline,Salina,"311 East Claflin Avenue",,01/05/2010
Kansas,Harvey,Sedgwick,"202 West 8t",,01/13/2010
